Survey_number,Sex,School_code,Teacher_code,Library_me,Museum_me,Scouts_me,National_Parks_me,Afterschool_me,Talk_me,Summer_camp_me,Hike_outdoors_me,Garden_me,Experiments_me,Read_me,Internet_me,Computer_me,TV_me,Build_me,Library_encourage,Museum_encourage,Scouts_encourage,National_park_encourage,Afterschool_encourage,Talk_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_encourage,TV_encourage,Build_encourage,Stars_planets,mix_materials,Weather,Human_body,Traits,Dinosaurs,Fish_hunt,Earthquakes,Instruments,Diseases,Dangerous_plants_animals,Planets_space,Buildings_bridges,Eat_exercise,Engines,Rocks_minerals,Computers_cell_phones,Puzzels_math,Food_flowers,Maps,Invent,Community_green,Pets,Earth_space,Human_bio,Tech_eng
34,1,Shaver,Newcomb,2,3,1,4,5,4,1,2,1,1,4,2,5,1,1,1112,1121,1212,2121,1211,2111,1111,1111,1112,1121,1212,2121,1211,2112,1121,4,4,5,4,2,5,3,5,2,4,2,4,2,5,1,1,5,1,1,1,1,4,2,0.875,0.66666666675,0.20833333325
35,1,Shaver,Newcomb,5,1,1,3,1,4,1,5,4,3,5,4,5,4,4,1112,1121,1211,2111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1112,1121,5,5,5,5,4,5,1,5,2,5,4,5,1,4,2,4,5,2,4,4,4,4,2,1,0.83333333325,0.58333333325
39,1,Shaver,Newcomb,4,2,1,3,5,4,1,5,3,3,5,3,3,4,3,1112,1121,1211,2111,1112,1122,1221,2211,2111,1111,1111,1111,1112,1121,1211,4,5,3,4,4,2,5,1,2,4,3,5,5,3,2,5,5,2,5,2,5,5,5,0.5625,0.66666666675,0.75
40,1,Russell,Robinson,4,2,1,3,5,5,2,4,3,4,5,5,5,3,5,1112,1122,1221,2211,2111,1111,1111,1112,1121,1211,2112,1121,1211,2111,1112,3,5,4,4,5,5,1,4,1,3,3,5,4,5,3,5,3,5,4,4,2,5,5,0.75,0.91666666675,0.625
46,1,Russell,Robinson,3,1,1,4,4,5,4,3,4,1,5,5,4,4,5,1112,1121,1211,2111,1111,1111,1111,1112,1121,1212,2121,1211,2111,1111,1111,5,5,2,4,2,5,1,5,1,5,4,5,4,2,4,2,5,4,1,5,5,4,5,0.8125,0.41666666675,0.79166666675
51,0,Russell,Robinson,3,2,5,5,5,2,2,4,2,3,2,2,5,3,3,1112,1121,1211,2111,1112,1122,1221,2211,2111,1111,1111,1112,1121,1211,2111,1,3,1,1,1,1,5,3,1,1,1,2,1,4,1,1,1,1,1,1,2,3,3,0.1875,0.25,0.04166666675
53,0,Russel,Robinson,3,3,1,3,2,2,3,5,1,3,3,4,4,2,5,1112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1211,2112,1121,1211,2111,5,5,3,4,2,4,3,4,2,3,3,4,3,3,4,3,4,3,2,4,1,2,1,0.75,0.5,0.54166666675
55,0,Russell,Robinson,2,2,5,5,5,2,2,5,3,5,1,5,5,5,5,1112,1121,1211,2111,1112,1122,1221,2211,2111,1112,1121,1211,2111,1112,1121,1,5,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,1,1,1,5,1,5,0,0.16666666675,0.5
57,0,Shaver,Newcomb,5,3,1,4,1,4,5,4,3,3,2,4,5,4,5,2111,1111,1111,1111,1112,1121,1211,2112,1121,1212,2121,1211,2111,1111,1112,4,4,3,1,2,4,5,4,5,4,3,4,NA,5,4,5,4,3,5,4,5,NA,NA,0.6875,0.41666666675,0.85
72,1,Prescott,Renee,3,3,1,4,5,4,1,4,4,3,5,5,4,3,2,1121,1211,2112,1121,1211,2111,1111,1112,1121,1212,2121,1211,2111,1111,1112,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,1,0.91666666675,0.91666666675
78,1,Sacramento,Klansnic,2,2,1,4,2,1,1,4,1,1,2,2,5,2,2,1112,1122,1221,2211,2111,1111,1111,1111,1112,1122,1221,2211,2111,1111,1111,2,4,1,1,1,1,5,1,2,4,5,2,1,4,1,1,3,2,3,1,1,3,4,0.125,0.25,0.08333333325
85,0,Sacramento,Klansnic,2,3,2,4,2,5,3,4,4,4,3,4,2,3,5,2111,1111,1111,1112,1121,1212,2121,1211,2111,1111,1111,1111,1112,1121,1211,5,5,2,3,1,4,2,1,1,1,3,5,5,3,1,4,5,5,2,1,5,3,1,0.5625,0.33333333325,0.625
86,1,Sacramento,Klansnic,4,2,1,3,2,5,1,5,3,4,2,2,4,1,4,1112,1121,1211,2111,1112,1121,1211,2111,1111,1111,1111,1111,1112,1121,1211,2,5,3,2,2,5,1,5,5,4,5,5,2,5,2,5,5,NA,2,5,5,2,5,0.6875,0.5,0.75
90,1,Sacramento,Klansnic,3,2,2,2,5,3,1,3,2,1,2,2,4,1,4,2111,1111,1111,1112,1121,1211,2111,1111,1112,1121,1211,2112,1121,1212,2121,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,1,3,1,5,0,0.08333333325,0.16666666675
96,1,Prescott,Marsh,5,3,2,3,4,5,1,5,5,4,5,4,5,2,3,2111,1111,1112,1121,1211,2111,1111,1112,1121,1212,2121,1211,2111,1112,1121,4,5,4,2,5,5,4,5,5,5,5,4,4,4,4,5,5,5,5,2,5,5,5,0.8125,0.66666666675,0.79166666675
100,0,Prescott,Marsh,2,1,1,2,1,2,1,1,1,1,1,4,5,2,2,2111,1111,1111,1111,1112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1211,5,4,2,3,2,5,2,4,3,4,4,5,5,3,2,2,4,3,3,4,3,3,3,0.75,0.41666666675,0.58333333325
103,1,Prescott,Ugrate,4,4,4,4,5,5,5,4,5,4,5,4,5,3,1,2111,1112,1122,1221,2211,2112,1121,1212,2121,1212,2121,1211,2111,1111,1111,4,5,4,5,2,5,2,5,5,5,4,5,3,5,2,4,5,5,5,5,5,5,5,0.875,0.75,0.75
117,1,Russell,O'Brien,4,4,5,4,5,5,4,5,4,5,4,5,5,5,5,1112,1122,1222,2221,2211,2111,1111,1111,1112,1122,1221,2211,2111,1111,1111,5,4,1,4,1,5,5,2,1,3,4,4,1,1,3,4,5,4,2,4,5,4,2,0.5,0.25,0.66666666675
121,0,Sacramento,Landreth,3,2,5,2,5,5,1,5,5,5,5,2,1,4,5,2111,1111,1112,1121,1211,2111,1111,1111,1112,1121,1211,2112,1121,1211,2112,5,4,5,1,3,3,2,5,2,1,5,5,2,3,5,5,5,4,3,4,5,5,5,1,0.33333333325,0.83333333325
123,0,Sacramento,Landreth,3,4,2,2,3,2,4,5,2,3,5,4,5,3,1,1112,1121,1211,2111,1112,1121,1211,2111,1111,1111,1111,1111,1111,1111,1111,5,4,4,3,1,4,4,5,3,4,3,5,4,3,4,3,5,5,2,4,5,3,4,0.9375,0.33333333325,0.79166666675
124,0,Russell,O'Brien,3,3,2,3,3,4,2,4,2,4,4,5,5,5,2,1211,2111,1112,1121,1211,2111,1111,1112,1121,1212,2121,1211,2111,1111,1112,4,4,3,4,4,3,5,5,3,5,2,3,3,3,4,4,5,3,3,2,4,4,3,0.6875,0.66666666675,0.66666666675
126,1,Prescott,Marsh,2,5,1,5,5,5,1,5,5,2,5,5,5,3,5,2111,1112,1121,1211,2111,1111,1111,1112,1121,1212,2121,1211,2111,1112,1121,4,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4,3,5,5,5,4,5,5,0.875,1,0.79166666675
139,1,Prescott,Tyler,3,2,1,3,2,4,4,3,1,2,4,3,5,2,3,2111,1111,1111,1112,1121,1211,2111,1111,1112,1121,1211,2112,1121,1212,2121,2,3,3,2,4,1,4,3,4,3,3,2,2,3,2,1,4,2,3,2,4,4,4,0.375,0.5,0.375
143,0,Prescott,Renee,3,2,1,3,5,2,1,4,1,2,4,5,5,3,5,2111,1112,1121,1211,2111,1111,1111,1112,1121,1212,2121,1211,2111,1111,1111,5,5,4,4,2,3,3,3,2,1,1,5,5,2,3,1,5,4,3,3,5,2,2,0.8125,0.41666666675,0.66666666675
145,0,Sacramento,Brown,3,3,1,2,5,2,2,4,3,3,2,2,1,3,4,1121,1211,2111,1112,1121,1211,2111,1111,1112,1121,1211,2112,1121,1212,2121,5,4,4,5,4,5,5,5,4,4,4,5,3,4,5,3,4,4,3,5,5,5,4,0.9375,0.83333333325,0.79166666675
153,0,Sacramento,Brown,3,3,1,2,1,4,1,3,2,2,4,3,2,3,5,2111,1112,1121,1211,2111,1111,1111,1111,1111,1112,1121,1211,2111,1111,1111,5,1,3,3,2,2,2,5,1,2,3,5,4,3,2,3,5,4,2,3,4,5,5,0.875,0.41666666675,0.625
155,1,Russell,O'Brien,3,3,2,4,5,5,5,5,4,2,5,3,3,2,1,1112,1121,1211,2112,1121,1212,2121,1211,2111,1111,1111,1111,1112,1121,1211,3,5,5,5,2,1,1,2,1,5,4,1,1,5,1,2,4,5,2,2,5,5,4,0.4375,0.75,0.375
157,1,Russell,O'Brien,3,2,1,3,3,5,4,3,4,2,5,1,5,1,3,1112,1121,1211,2111,1112,1122,1221,2211,2111,1111,1111,1111,1112,1122,1221,1,3,1,5,3,4,2,1,1,1,1,2,1,5,1,1,1,3,5,1,1,5,5,0.0625,0.83333333325,0
163,0,Russell,O'Brien,3,1,1,1,5,4,2,1,3,4,2,4,5,4,4,2211,2111,1111,1111,1112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1211,3,1,1,2,1,4,5,3,3,4,4,3,1,4,2,4,4,3,4,2,5,2,5,0.375,0.33333333325,0.5
164,1,Russell,O'Brien,4,3,2,2,1,5,1,4,5,4,5,5,5,5,4,2111,1111,1112,1121,1211,2111,1111,1112,1121,1211,2112,1121,1211,2111,1111,2,5,2,1,4,2,5,3,4,1,5,3,2,5,2,5,5,4,5,4,5,5,5,0.375,0.58333333325,0.70833333325
176,0,Russell,Curry,3,2,1,3,4,5,4,4,3,3,3,4,5,5,4,2111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1121,1211,2111,1112,1121,5,4,3,4,3,2,5,5,2,5,4,5,3,4,3,1,4,4,4,4,3,4,4,0.875,0.66666666675,0.5
188,1,Prescott,Gifford,3,4,5,5,5,4,1,5,5,5,5,5,5,4,5,2111,1111,1111,1112,1121,1212,2121,1211,2111,1112,1121,1211,2111,1112,1121,5,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,1,0.75,1,0.95833333325
193,1,NA,NA,5,4,1,2,5,5,5,5,3,5,5,5,5,5,5,2111,1112,1121,1211,2111,1111,1111,1111,1112,1122,1222,2221,2211,2112,1122,4,5,3,5,3,3,3,5,3,5,5,4,4,5,2,5,3,2,5,3,5,5,5,0.75,0.83333333325,0.66666666675
182,1,Shaver,Nakashima,3,2,1,2,1,4,1,1,2,3,2,2,3,2,2,2111,1111,1111,1111,1112,1121,1211,2111,1111,1111,1111,1111,1112,1121,1211,2,4,2,4,2,2,2,5,5,4,5,5,4,4,2,4,5,4,5,2,5,4,5,0.625,0.58333333325,0.66666666675
2,1,Shaver,Nakashima,3,3,1,4,4,2,1,3,3,3,4,4,5,3,3,1121,1212,2121,1211,2111,1111,1111,1111,1112,1122,1221,2211,2111,1112,1121,4,4,3,4,4,4,3,4,3,4,2,4,NA,2,4,4,4,3,2,2,4,2,2,0.6875,0.58333333325,0.65
4,1,Shaver,Nakashima,3,2,2,2,3,4,1,2,1,3,4,4,5,1,3,2211,2111,1111,1112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1212,2121,3,5,2,5,3,2,1,2,3,5,4,3,2,5,3,2,5,1,1,2,5,2,2,0.375,0.83333333325,0.54166666675
7,0,Shaver,Nakashima,4,4,1,2,1,4,1,4,3,4,5,2,5,4,4,2111,1111,1112,1121,1211,2111,1111,1111,1112,1121,1212,2121,1211,2111,1112,4,5,3,1,2,5,4,5,5,3,5,1,2,1,2,4,5,1,2,5,5,3,5,0.5625,0.08333333325,0.70833333325
10,0,Shaver,Nakashima,3,1,2,2,5,3,1,5,2,4,3,4,5,3,2,1112,1121,1211,2112,1121,1211,2111,1111,1112,1121,1211,2112,1121,1212,2121,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,NA,2,1,1,1,5,1,1,0.0625,0,0.3
13,0,Shaver,Nakashima,5,3,1,5,5,5,1,5,3,5,5,4,3,4,5,1112,1121,1211,2111,1112,1121,1211,2112,1121,1211,2111,1111,1112,1121,1211,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,0.8125,1,1
14,1,Shaver,Nakashima,4,3,1,3,4,4,1,1,1,1,3,3,1,3,3,2111,1111,1111,1112,1121,1211,2111,1111,1112,1122,1221,2211,2111,1112,1121,5,5,5,5,4,5,1,5,4,5,5,5,5,4,1,5,5,1,5,5,5,1,5,1,0.83333333325,0.83333333325
15,1,Shaver,Nakashima,4,2,1,2,3,1,1,5,1,1,4,1,5,1,2,1112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1211,2111,1112,1122,1221,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,1,1,1,5,1,1,5,5,0.75,1,0.125
19,0,Shaver,Nakashima,4,2,1,3,3,4,2,4,3,3,3,4,5,2,3,2111,1111,1111,1111,1112,1121,1211,2111,1111,1111,1111,1111,1112,1121,1211,4,4,4,5,5,5,2,4,3,5,5,5,4,4,1,4,5,2,2,3,3,4,4,0.8125,0.91666666675,0.58333333325
20,0,Shaver,Nakashima,4,3,3,3,5,3,2,3,4,3,3,3,4,3,3,1112,1121,1211,2111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1112,1121,4,4,2,3,2,NA,5,3,2,2,1,1,4,3,3,1,2,1,4,2,5,4,5,0.375,0.41666666675,0.45833333325
21,0,Shaver,Nakashima,2,3,1,4,5,4,3,5,3,4,3,4,4,3,4,1112,1121,1211,2112,1121,1211,2111,1112,1121,1212,2121,1211,2111,1112,1121,1,5,5,3,3,4,5,4,1,4,3,5,4,5,3,5,3,5,2,4,5,5,3,0.6875,0.66666666675,0.75
22,0,Shaver,Nakashima,4,2,1,3,5,4,1,4,2,3,4,3,1,3,3,1211,2111,1112,1121,1211,2111,1111,1112,1121,1211,2112,1121,1211,2112,1121,4,4,5,5,4,3,2,4,1,5,3,5,4,3,3,3,4,2,2,2,4,3,4,0.875,0.75,0.58333333325
24,1,Shaver,NA,4,2,2,3,5,3,1,3,1,3,5,5,1,2,4,2111,1111,1111,1112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1212,2121,5,4,5,5,NA,5,5,5,3,3,5,5,3,5,3,3,5,5,5,5,5,5,5,1,1,0.75
25,1,Shaver,Nakashima,4,2,1,3,5,1,1,3,3,2,3,5,5,4,1,1112,1121,1211,2111,1112,1121,1211,2112,1121,1211,2111,1111,1112,1122,1221,2,5,2,2,1,4,2,5,2,3,1,1,5,5,5,4,5,4,5,4,5,3,2,0.375,0.41666666675,0.91666666675
26,0,Shaver,Nakashima,4,3,3,1,1,4,1,3,2,2,1,1,1,4,4,2112,1121,1212,2121,1211,2111,1111,1111,1112,1121,1211,2111,1111,1112,1121,2,2,1,1,1,3,1,1,1,3,2,1,1,1,1,3,4,5,2,2,5,4,5,0.0625,0,0.41666666675
28,1,Shaver,Newcomb,4,2,1,2,5,4,1,4,1,2,4,4,2,3,1,2111,1111,1111,1111,1112,1121,1211,2111,1111,1112,1121,1211,2111,1111,1111,1,1,1,3,5,5,1,5,1,5,1,1,1,3,1,4,5,2,1,1,1,1,5,0.25,0.66666666675,0.29166666675
29,1,Shaver,Newcomb,4,3,1,2,5,3,1,4,1,3,4,4,4,2,1,2111,1111,1111,1111,1112,1121,1211,2111,1111,1112,1121,1211,2111,1111,1111,1,1,1,3,5,5,1,5,1,5,1,1,1,3,1,4,5,2,1,1,1,1,5,0.25,0.66666666675,0.29166666675
31,NA,Shaver,Newcomb,3,3,1,2,2,4,2,5,1,5,5,5,1,5,5,1211,2112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1211,2111,1111,1111,5,4,3,1,2,1,5,3,1,4,3,5,1,1,3,4,3,4,NA,3,4,2,5,0.75,0.08333333325,0.5
32,1,Shaver,Newcomb,3,1,1,2,5,2,1,1,3,2,2,2,4,3,2,1112,1121,1211,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1121,2,4,2,1,1,2,1,2,1,2,4,1,1,1,2,5,5,5,NA,NA,5,2,5,0.1875,0,0.65
33,1,Shaver,Newcomb,2,3,1,4,5,1,1,2,2,2,4,1,5,1,1,1111,1112,1121,1211,2111,1111,1111,1111,1112,1122,1221,2211,2111,1111,1111,1,5,1,4,2,5,1,5,3,5,5,1,1,1,3,5,5,3,1,1,5,2,1,0.25,0.33333333325,0.58333333325
37,NA,Shaver,Newcomb,4,3,1,1,1,5,1,1,1,3,4,3,5,1,5,2111,1111,1112,1121,1211,2111,1111,1111,1112,1121,1211,2111,1111,1112,1121,5,4,1,4,2,5,5,5,1,5,1,1,5,5,1,5,5,1,5,5,1,5,5,0.5,0.66666666675,0.66666666675
38,1,Shaver,Newcomb,3,2,1,3,1,4,1,2,5,2,5,2,5,1,5,2111,1111,1111,1111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1111,1111,5,5,1,5,5,1,1,5,5,5,5,5,1,5,1,1,5,1,5,1,1,5,5,0.75,1,0.16666666675
42,1,Russell,Robinson,3,4,2,2,2,5,5,5,5,3,5,5,5,3,5,1112,1121,1211,2111,1112,1121,1211,2111,1112,1121,1211,2112,1121,1211,2111,4,5,4,4,4,5,4,5,4,5,5,5,4,4,5,5,5,4,5,4,5,4,5,0.875,0.75,0.91666666675
43,1,Russell,Robinson,2,3,2,3,4,5,1,3,3,4,3,3,4,2,2,1112,1122,1221,2211,2111,1111,1111,1111,1112,1121,1212,2121,1211,2111,1111,4,3,2,2,2,3,2,3,3,4,2,2,1,2,NA,2,1,1,2,1,3,NA,3,0.4375,0.25,0.15
44,1,Russell,Robinson,4,3,1,3,4,5,3,4,3,2,4,4,4,2,2,1112,1121,1211,2112,1121,1211,2111,1111,1111,1112,1121,1211,2111,1112,1121,4,5,3,4,2,4,1,3,1,2,1,5,1,2,1,2,1,4,1,1,2,4,4,0.6875,0.41666666675,0.08333333325
45,1,Russell,Robinson,4,2,2,4,1,5,1,5,4,3,5,3,2,3,4,2111,1111,1112,1121,1211,2111,1111,1111,1111,1111,1111,1112,1121,1211,2112,5,4,2,3,2,1,4,3,4,3,1,2,4,5,3,5,4,2,4,3,5,3,5,0.5,0.58333333325,0.75
47,1,Russell,Robinson,1,1,2,5,1,1,2,5,5,3,4,3,5,2,5,1121,1211,2111,1112,1121,1212,2121,1211,2111,1112,1121,1211,2111,1111,1111,2,5,4,3,2,3,4,3,5,2,5,5,2,2,3,3,2,1,5,5,5,4,5,0.625,0.33333333325,0.58333333325
52,0,Russell,Robinson,3,2,3,3,1,2,2,2,4,3,4,2,5,5,5,2111,1111,1111,1111,1112,1122,1221,2211,2111,1112,1121,1211,2111,1111,1111,2,2,2,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2,0.5,0.25,0.70833333325
58,0,Shaver,Newcomb,4,3,1,3,4,3,5,5,2,5,4,5,4,4,5,2111,1111,1111,1112,1121,1211,2111,1111,1111,1111,1111,1112,1121,1211,2111,4,4,3,1,3,4,5,3,1,2,5,3,3,2,4,4,5,4,2,3,5,3,5,0.5625,0.25,0.75
59,1,Shaver,Newcomb,4,3,2,4,4,4,1,5,2,2,4,2,5,4,4,1112,1121,1211,2112,1122,1221,2211,2112,1121,1211,2111,1111,1112,1121,1211,5,4,3,4,4,5,3,4,3,4,5,5,3,4,3,4,5,3,4,3,4,4,4,0.8125,0.75,0.66666666675
60,0,Shaver,Newcomb,3,2,1,2,4,2,1,3,1,2,2,1,1,3,2,1112,1121,1211,2111,1112,1121,1211,2111,1111,1111,1111,1111,1111,1111,1111,5,1,3,2,2,5,3,5,2,2,3,5,2,2,2,2,4,3,2,2,3,2,5,0.875,0.25,0.375
70,0,Prescott,Marsh,4,2,5,4,4,5,1,5,4,3,3,5,4,2,1,2111,1111,1111,1111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1111,1111,4,1,5,5,NA,NA,1,5,3,3,4,5,3,5,3,5,4,2,5,2,5,4,5,0.9375,1,0.66666666675
76,1,Sacramento,Brown,4,2,1,3,1,3,1,4,3,1,5,1,1,3,3,1112,1121,1211,2111,1111,1111,1111,1111,1112,1121,1211,2111,1112,1121,1211,1,4,2,1,4,3,5,2,3,2,5,2,1,4,1,1,5,5,5,2,5,5,5,0.1875,0.5,0.375
77,1,Sacramento,Klansnic,3,2,1,2,5,4,3,4,4,3,5,5,5,3,4,2111,1111,1112,1121,1211,2111,1111,1111,1112,1121,1211,2112,1121,1212,2121,4,NA,4,3,4,5,3,3,2,3,4,5,4,4,3,3,3,2,3,4,5,5,5,0.75,0.66666666675,0.66666666675
79,1,Sacramento,Klansnic,2,4,1,4,4,5,1,5,5,4,5,3,3,3,5,2111,1111,1111,1111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1112,1121,5,4,3,2,1,4,1,5,2,5,5,NA,2,1,3,2,5,1,1,1,2,3,4,0.83333333325,0.08333333325,0.375
80,1,Sacramento,Brown,3,3,1,5,1,5,1,5,4,5,4,4,3,4,5,1112,1121,1211,2111,1112,1121,1211,2112,1121,1211,2111,1111,1112,1121,1211,4,5,3,3,2,4,2,4,5,3,4,4,2,5,2,2,3,4,2,2,2,5,4,0.6875,0.58333333325,0.29166666675
81,1,Sacramento,Brown,3,2,5,5,5,4,1,5,5,4,3,5,5,2,5,1112,1121,1211,2111,1112,1121,1212,2121,1211,2112,1121,1211,2111,1112,1121,2,5,4,3,5,5,5,5,4,5,5,4,3,4,5,4,5,5,NA,NA,5,5,5,0.6875,0.75,0.85
82,0,Sacramento,Klansnic,2,2,1,2,5,4,1,2,2,1,3,2,2,2,2,2111,1111,1111,1112,1121,1211,2111,1111,1112,1122,1221,2211,2111,1112,1121,2,3,1,2,1,1,4,1,1,4,2,1,1,1,1,1,1,1,1,5,5,4,5,0.0625,0.08333333325,0.33333333325
83,1,Sacramento,Klansnic,2,3,1,3,2,4,1,3,4,5,5,5,5,3,2,1112,1121,1211,2111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1112,1121,2,5,1,2,4,2,5,2,2,4,2,2,2,4,2,4,5,4,5,2,5,4,5,0.1875,0.58333333325,0.58333333325
84,1,Sacramento,Klansnic,3,2,1,4,5,4,5,5,5,5,4,5,5,4,5,2111,1111,1111,1111,1112,1121,1211,2111,1112,1122,1221,2211,2111,1111,1111,4,5,1,4,4,2,5,5,5,5,3,3,3,4,5,4,5,4,5,5,5,5,5,0.5625,0.75,0.875
87,1,Sacramento,Klansnic,2,2,1,2,2,3,1,3,2,3,2,3,2,2,2,2111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111,1112,1121,2,4,2,2,4,1,1,2,1,1,1,2,2,4,1,2,3,4,3,3,3,4,4,0.25,0.58333333325,0.33333333325
